gameId,gameDate,hometeamCity,hometeamName,hometeamId,awayteamCity,awayteamName,awayteamId,homeScore,awayScore,winner,gameType,attendance,arenaId,gameLabel,gameSubLabel,seriesGameNumber
42400407,2025-06-22 20:00:00,Oklahoma City,Thunder,1610612760,Indiana,Pacers,1610612754,103,91,1610612760,Playoffs,18203.0,1000052,NBA Finals,Game 7,7.0
42400406,2025-06-19 20:30:00,Indiana,Pacers,1610612754,Oklahoma City,Thunder,1610612760,108,91,1610612754,Playoffs,17274.0,1000063,NBA Finals,Game 6,6.0
42400405,2025-06-16 20:30:00,Oklahoma City,Thunder,1610612760,Indiana,Pacers,1610612754,120,109,1610612760,Playoffs,18203.0,1000052,NBA Finals,Game 5,5.0
42400404,2025-06-13 20:30:00,Indiana,Pacers,1610612754,Oklahoma City,Thunder,1610612760,104,111,1610612760,Playoffs,17274.0,1000063,NBA Finals,Game 4,4.0
42400403,2025-06-11 20:30:00,Indiana,Pacers,1610612754,Oklahoma City,Thunder,1610612760,116,107,1610612754,Playoffs,17274.0,1000063,NBA Finals,Game 3,3.0
42400402,2025-06-08 20:00:00,Oklahoma City,Thunder,1610612760,Indiana,Pacers,1610612754,123,107,1610612760,Playoffs,18203.0,1000052,NBA Finals,Game 2,2.0
42400401,2025-06-05 20:30:00,Oklahoma City,Thunder,1610612760,Indiana,Pacers,1610612754,110,111,1610612754,Playoffs,18203.0,1000052,NBA Finals,Game 1,1.0
42400306,2025-05-31 20:00:00,Indiana,Pacers,1610612754,New York,Knicks,1610612752,125,108,1610612754,Playoffs,17274.0,1000063,East Conf. Finals,Game 6,6.0
42400305,2025-05-29 20:00:00,New York,Knicks,1610612752,Indiana,Pacers,1610612754,111,94,1610612752,Playoffs,19812.0,30,East Conf. Finals,Game 5,5.0
42400315,2025-05-28 20:30:00,Oklahoma City,Thunder,1610612760,Minnesota,Timberwolves,1610612750,124,94,1610612760,Playoffs,18203.0,1000052,West Conf. Finals,Game 5,5.0
42400304,2025-05-27 20:00:00,Indiana,Pacers,1610612754,New York,Knicks,1610612752,130,121,1610612754,Playoffs,17274.0,1000063,East Conf. Finals,Game 4,4.0
